,Region,"Population(000, 2019)","Pop. density(per km2, 2019)",Capital city,"Capital city pop.(000, 2019)",UN membership date,Surface area(km2),Sex ratio(m per 100 f),National currency,Exchange rate(per US$)
Afghanistan,Southern Asia,38042,58.3,Kabul,4114.0,19-Nov-46,652864,105.5,Afghani (AFN),75
Albania,Southern Europe,2881,105.1,Tirana,484.6,14-Dec-55,28748,103.7,Lek (ALL),107.8
Algeria,Northern Africa,43053,18.1,Algiers,2729.3,8-Oct-62,2381741,102.1,Algerian Dinar (DZD),118.3
American Samoa,Polynesia,55,276.6,Pago Pago,48.5,,199,103.6,US Dollar (USD),
Andorra,Southern Europe,77,164.1,Andorra la Vella,22.6,28-Jul-93,468,102.3,Euro (EUR),0.9
Angola,Middle Africa,31825,25.5,Luanda,8044.7,1-Dec-76,1246700,97.9,Kwanza (AOA),308.6
Anguilla,Caribbean,15,165.2,The Valley,1.4,,91,97.6,E. Caribbean Dollar (XCD),2.7
Antigua and Barbuda,Caribbean,97,220.7,Saint John's,20.8,11-Nov-81,442,93.2,E. Caribbean Dollar (XCD),2.7
Argentina,South America,44781,16.4,Buenos Aires,15057.3,24-Oct-45,2780400,95.2,Argentine Peso (ARS),37.6
Armenia,Western Asia,2958,103.9,Yerevan,1083.3,2-Mar-92,29743,88.8,Armenian Dram (AMD),483.8
Aruba,Caribbean,106,590.6,Oranjestad,29.9,,180,90.3,Aruban Florin (AWG),1.8
Australia,Oceania,25203,3.3,Canberra,452.5,1-Nov-45,7692060,99.2,Australian Dollar (AUD),1.4
Austria,Western Europe,8955,108.7,Vienna,1915.3,14-Dec-55,83871,97,Euro (EUR),0.9
Azerbaijan,Western Asia,10048,121.6,Baku,2313.1,2-Mar-92,86600,99.7,Azerbaijan manat (AZN),1.7
Bahamas,Caribbean,390,38.9,Nassau,279.7,18-Sep-73,13940,94.5,Bahamian Dollar (BSD),1
Bahrain,Western Asia,1641,2159.4,Manama,600.4,21-Sep-71,771,179.9,Bahraini Dinar (BHD),0.4
Bangladesh,Southern Asia,163046,1252.6,Dhaka,20283.6,17-Sep-74,147570,102.4,Taka (BDT),83.9
Barbados,Caribbean,287,667.5,Bridgetown,89.2,9-Dec-66,431,93.7,Barbados Dollar (BBD),2
Belarus,Eastern Europe,9452,46.6,Minsk,2016.7,24-Oct-45,207600,87.1,Belarusian Ruble (BYN),2.2
Belgium,Western Europe,11539,381.1,Brussels,2065.3,27-Dec-45,30528,98,Euro (EUR),0.9
Belize,Central America,390,17.1,Belmopan,23,25-Sep-81,22966,99.1,Belize Dollar (BZD),2
Benin,Western Africa,11801,104.7,Porto-Novo,285.3,20-Sep-60,114763,99.7,"CFA Franc, BCEAO (XOF)",572.9
Bermuda,Northern America,62,1250.1,Hamilton,10.1,,53,91.4,Bermudian Dollar (BMD),1
Bhutan,Southern Asia,763,20,Thimphu,203.3,21-Sep-71,38394,113.1,Ngultrum (BTN),69.8
Bolivia (Plurin. State of),South America,11513,10.6,Sucre,277.9,14-Nov-45,1098581,100.8,Boliviano (BOB),6.9
"Bonaire, St. Eustatius & Saba",Caribbean,26,79.2,Kralendijk,11.3,,,,US Dollar (USD),
Bosnia and Herzegovina,Southern Europe,3301,64.7,Sarajevo,342.7,22-May-92,51209,96,Convertible Mark (BAM),1.7
Botswana,Southern Africa,2304,4.1,Gaborone,269.3,17-Oct-66,582000,93.7,Pula (BWP),10.7
Brazil,South America,211050,25.3,Brasilia,4559.0,24-Oct-45,8515767,96.7,Brazilian Real (BRL),3.9
British Virgin Islands,Caribbean,30,200.2,Road Town,15.1,,151,97.1,US Dollar (USD),
Brunei Darussalam,South-eastern Asia,433,82.2,Bandar Seri Begawan,40.8,21-Sep-84,5765,108,Brunei Dollar (BND),1.4
Bulgaria,Eastern Europe,7000,64.5,Sofia,1276.9,14-Dec-55,111002,94.4,Bulgarian Lev (BGN),1.7
Burkina Faso,Western Africa,20321,74.3,Ouagadougou,2652.7,20-Sep-60,272967,99.7,"CFA Franc, BCEAO (XOF)",572.9
Burundi,Eastern Africa,11531,449,Gitega,…,18-Sep-62,27830,98.4,Burundi Franc (BIF),1808.3
Cabo Verde,Western Africa,550,136.5,Praia,167.5,16-Sep-75,4033,100.8,Cabo Verde Escudo (CVE),96.3
Cambodia,South-eastern Asia,16486,93.4,Phnom Penh,2014.0,14-Dec-55,181035,95.4,Riel (KHR),4033.0
Cameroon,Middle Africa,25876,54.7,Yaoundé,3822.4,20-Sep-60,475650,100,"CFA Franc, BEAC (XAF)",572.9
Canada,Northern America,37411,4.1,Ottawa,1378.2,9-Nov-45,9984670,98.5,Canadian Dollar (CAD),1.4
Cayman Islands,Caribbean,65,270.6,George Town,34.9,,264,100.4,Cayman Islands Dollar (KYD),0.8
Central African Republic,Middle Africa,4745,7.6,Bangui,869.6,20-Sep-60,622984,98.3,"CFA Franc, BEAC (XAF)",572.9
Chad,Middle Africa,15947,12.7,N'Djamena,1371.5,20-Sep-60,1284000,99.7,"CFA Franc, BEAC (XAF)",572.9
Channel Islands,Northern Europe,172,906.6,Saint Helier,34.4,,180,98,Pound Sterling (GBP),0.8
Chile,South America,18952,25.5,Santiago,6723.5,24-Oct-45,756102,97.2,Chilean Peso (CLP),695.7
China,Eastern Asia,1433784,152.7,Beijing,20035.5,24-Oct-45,9600000,105.4,Yuan Renminbi (CNY),6.9
"China, Hong Kong SAR",Eastern Asia,7436,7082.1,Hong Kong,7490.8,,1106,85.1,Hong Kong Dollar (HKD),7.8
"China, Macao SAR",Eastern Asia,640,21419.6,Macao,642.1,,30,92.5,Pataca (MOP),8.1
Colombia,South America,50339,45.4,Bogota,10779.4,5-Nov-45,1141748,96.4,Colombian Peso (COP),3275.0
Comoros,Eastern Africa,851,457.2,Moroni,62.4,12-Nov-75,2235,101.8,Comorian Franc (KMF),429.7
Congo,Middle Africa,5380,15.8,Brazzaville,2308.1,20-Sep-60,342000,99.8,"CFA Franc, BEAC (XAF)",572.9
Cook Islands,Polynesia,18,73.1,Avarua,13.1,,236,97.4,New Zealand Dollar (NZD),1.5
Costa Rica,Central America,5048,98.9,San José,1378.5,2-Nov-45,51100,99.9,Costa Rican Colon (CRC),608.1
Côte d’Ivoire,Western Africa,25716,80.9,Yamoussoukro,231.1,20-Sep-60,322463,101.8,"CFA Franc, BCEAO (XOF)",572.9
Croatia,Southern Europe,4130,73.8,Zagreb,685.2,22-May-92,56594,93,Kuna (HRK),6.5
Cuba,Caribbean,11334,106.5,Havana,2138.4,24-Oct-45,109884,98.6,Cuban Peso (CUP),1
Curaçao,Caribbean,163,368.1,Willemstad,144,,444,85,Neth. Ant. Guilder (ANG),1.8
Cyprus,Western Asia,1199,129.7,Nicosia,269.5,20-Sep-60,9251,100,Euro (EUR),0.9
Czechia,Eastern Europe,10689,138.4,Prague,1298.8,19-Jan-93,78868,96.9,Czech Koruna (CZK),21.3
Dem. People's Rep. Korea,Eastern Asia,25666,213.2,Pyongyang,3060.9,17-Sep-91,120538,95.7,North Korean Won (KPW),106.8
Dem. Rep. of the Congo,Middle Africa,86791,38.3,Kinshasa,13743.3,20-Sep-60,2344858,99.6,Congolese Franc (CDF),1635.6
Denmark,Northern Europe,5772,136,Copenhagen,1333.9,24-Oct-45,42921,98.9,Danish Krone (DKK),6.5
Djibouti,Eastern Africa,974,42,Djibouti,568.8,20-Sep-77,23200,110.9,Djibouti Franc (DJF),177.7
Dominica,Caribbean,72,95.7,Roseau,14.9,18-Dec-78,750,103,E. Caribbean Dollar (XCD),2.7
Dominican Republic,Caribbean,10739,222.2,Santo Domingo,3245.0,24-Oct-45,48671,99.9,Dominican Peso (DOP),50.3
Ecuador,South America,17374,70,Quito,1847.7,21-Dec-45,257217,100.1,US Dollar (USD),
Egypt,Northern Africa,100388,100.8,Cairo,20485.0,24-Oct-45,1002000,102.1,Egyptian Pound (EGP),17.9
El Salvador,Central America,6454,311.5,San Salvador,1105.7,24-Oct-45,21041,88.1,US Dollar (USD),
Equatorial Guinea,Middle Africa,1356,48.3,Malabo,296.8,12-Nov-68,28052,125.2,"CFA Franc, BEAC (XAF)",572.9
Eritrea,Eastern Africa,3497,34.6,Asmara,928.8,28-May-93,117600,100.5,Nakfa (ERN),15.1
Estonia,Northern Europe,1326,31.3,Tallinn,441.3,17-Sep-91,45227,89.6,Euro (EUR),0.9
Eswatini,Southern Africa,1148,66.8,Mbabane,68,24-Sep-68,17363,96.1,Lilangeni (SZL),14.4
Ethiopia,Eastern Africa,112079,112.1,Addis Ababa,4592.0,13-Nov-45,1104300,100.1,Ethiopian Birr (ETB),28
Falkland Islands (Malvinas),South America,3,0.3,Stanley,2.3,,12173,110.5,Falkland Islands Pound (FKP),0.7
Faroe Islands,Northern Europe,49,34.9,Tórshavn,20.8,,1393,107.2,Danish Krone (DKK),7.1
Fiji,Melanesia,890,48.7,Suva,178.3,13-Oct-70,18272,102.7,Fiji Dollar (FJD),2.1
Finland,Northern Europe,5532,18.2,Helsinki,1292.2,14-Dec-55,338440,97.2,Euro (EUR),0.9
France,Western Europe,65130,118.9,Paris,10958.2,24-Oct-45,551500,93.8,Euro (EUR),0.9
French Guiana,South America,291,3.5,Cayenne,57.5,,83534,97.8,Euro (EUR),0.9
French Polynesia,Polynesia,279,76.3,Papeete,136,,4000,102.7,CFP Franc (XPF),104.2
Gabon,Middle Africa,2173,8.4,Libreville,823.9,20-Sep-60,267668,103.7,"CFA Franc, BEAC (XAF)",572.9
Gambia,Western Africa,2348,232,Banjul,443.4,21-Sep-65,11295,98.4,Dalasi (GMD),49.5
Georgia,Western Asia,3997,57.5,Tbilisi,1077.3,31-Jul-92,69700,91.1,Lari (GEL),2.7
Germany,Western Europe,83517,239.6,Berlin,3556.8,18-Sep-73,357376,97.6,Euro (EUR),0.9
Ghana,Western Africa,30418,133.7,Accra,2475.2,8-Mar-57,238537,102.8,Ghana Cedi (GHS),4.8
Gibraltar,Southern Europe,34,3370.1,Gibraltar,34.7,,6,101.8,Gibraltar Pound (GIP),0.8
Greece,Southern Europe,10474,81.3,Athens,3154.2,25-Oct-45,131957,96.4,Euro (EUR),0.9
Greenland,Northern America,57,0.1,Nuuk,18.4,,2166086,112.1,Danish Krone (DKK),7.1
Grenada,Caribbean,112,329.4,Saint George's,39.3,17-Sep-74,345,101.5,E. Caribbean Dollar (XCD),2.7
Guadeloupe,Caribbean,400,245.7,Basse-Terre,58.4,,1705,85.8,Euro (EUR),0.9
Guam,Micronesia,167,309.8,Hagåtña,146.9,,549,101.9,US Dollar (USD),
Guatemala,Central America,17582,164.1,Guatemala City,2891.2,21-Nov-45,108889,97.1,Quetzal (GTQ),7.7
Guinea,Western Africa,12771,52,Conakry,1889.2,12-Dec-58,245857,93.4,Guinean Franc (GNF),9084.8
Guinea-Bissau,Western Africa,1921,68.3,Bissau,578.8,17-Sep-74,36125,95.6,"CFA Franc, BCEAO (XOF)",572.9
Guyana,South America,783,4,Georgetown,109.9,20-Sep-66,214969,101,Guyana Dollar (GYD),208.5
Haiti,Caribbean,11263,408.7,Port-au-Prince,2704.2,24-Oct-45,27750,97.4,Gourde (HTG),77.2
Holy See,Southern Europe,1,1815.9,Vatican City,0.8,,~0,219.2,Euro (EUR),0.9
Honduras,Central America,9746,87.1,Tegucigalpa,1403.2,17-Dec-45,112492,99.8,Lempira (HNL),24.3
Hungary,Eastern Europe,9685,107,Budapest,1763.9,14-Dec-55,93024,90.8,Forint (HUF),280.9
Iceland,Northern Europe,339,3.4,Reykjavik,216.4,19-Nov-46,103000,100.8,Iceland Krona (ISK),116.3
