,GDP: Gross domestic product(million current US$),"GDP growth rate(annual %, const. 2010 prices)",GDP per capita(current US$),Economy: Agriculture(% of Gross Value Added),Economy: Industry(% of Gross Value Added),Economy: Services and other activity(% of GVA),Employment: Agriculture(% of employed),Employment: Industry(% of employed),Employment: Services(% employed),Unemployment(% of labour force),Labour force participation(female/male pop. %),CPI: Consumer Price Index(2010=100),Agricultural production index(2004-2006=100),International trade: Exports(million current US$),International trade: Imports(million current US$),International trade: Balance(million current US$),"Balance of payments, current account(million US$)",Population growth rate(average annual %),Urban population(% of total population),Urban population growth rate(average annual %),"Fertility rate, total(live births per woman)","Life expectancy at birth(females/males, years)","Population age distribution(0-14/60+ years old, %)",International migrant stock(000/% of total pop.),Refugees and others of concern to UNHCR(000),Infant mortality rate(per 1 000 live births),Health: Current expenditure(% of GDP),Health: Physicians(per 1 000 pop.),Education: Government expenditure(% of GDP),Education: Primary gross enrol. ratio(f/m per 100 pop.),Education: Secondary gross enrol. ratio(f/m per 100 pop.),Education: Tertiary gross enrol. ratio(f/m per 100 pop.),Intentional homicide rate(per 100 000 pop.),Seats held by women in national parliaments(%),Individuals using the Internet(per 100 inhabitants),Threatened species(number),Forested area(% of land area),CO2 emission estimates(million tons/tons per capita),"Energy production, primary(Petajoules)",Energy supply per capita(Gigajoules),Important sites for terrestrial biodiversity protected(%),Net Official Development Assist. received(% of GNI),Index of industrial production(2005=100),Research & Development expenditure(% of GDP),Tourist/visitor arrivals at national borders(000),Net Official Development Assist. disbursed(% of GNI)
Afghanistan,21993.0,2.5,619.0,23.9,22.0,54.1,61.7,6.8,31.5,8.8,48.8/82.1,145.0,125.0,822.0,8345.0,-7523.0,-4227.0,3.3,25.8,4.0,5.4,63.8/60.9,42.5/4.2,133.6/0.4,2537.1,60.1,10.2,0.3,3.9,84.2/122.7,39.6/69.1,3.6/14.6,6.3,27.7,11.4,40.0,2.1,9.8/0.3,70.0,4.0,6.1,18.1,,,,
Albania,13039.0,3.8,4450.0,21.7,24.2,54.1,37.8,18.8,43.4,15.1,47.1/64.8,117.0,143.0,2876.0,5942.0,-3066.0,-1008.0,-0.4,61.2,1.8,1.7,80.0/75.2,17.4/20.5,52.5/1.8,4.0,9.2,6.7,1.2,4.0,108.6/111.5,93.1/99.0,70.8/44.4,2.7,29.3,71.8,136.0,28.1,5.7/2.0,82.0,31.0,67.0,1.2,355.0,,4643.0,
Algeria,167555.0,1.4,4055.2,12.7,38.6,48.6,12.6,46.7,40.7,9.9,14.9/67.2,148.0,151.0,41347.0,49214.0,-7867.0,-22059.0,2.0,73.2,2.9,3.0,76.7/74.4,30.6/9.7,248.6/0.6,185.8,24.9,6.6,1.8,,108.8/114.5,101.5/97.8,57.3/38.5,1.4,25.8,47.7,143.0,0.8,145.4/3.7,6283.0,54.0,38.8,0.11,104.0,,2451.0,
American Samoa,,,,,,,,,,,... / ...,,116.0,,,,,,87.1,-0.1,2.6,77.8/71.1,33.3/9.0,23.6/42.3,,9.6,,,,,,,5.4,,,95.0,87.5,,,,61.5,,,,20.0,
Andorra,3013.0,1.7,39152.8,0.6,11.4,88.1,,,,,,106.0,,129.0,1623.0,-1494.0,,-1.6,88.0,-1.7,1.2,,14.4/19.0,41.0/53.3,,,10.4,3.3,3.2,,,,1.2,32.1,98.9,14.0,34.0,0.5/6.4,1.0,116.0,26.1,,,,3003.0,
Angola,126506.0,-2.5,4247.4,8.8,43.6,47.5,50.0,8.7,41.2,8.9,75.4/80.0,337.0,192.0,38953.0,18019.0,20935.0,7502.0,3.5,66.2,4.7,6.0,60.5/55.2,46.6/3.6,638.5/2.1,68.1,78.2,2.9,0.2,,105.2/121.6,39.3/62.0,8.5/10.4,4.8,30.0,14.3,158.0,46.3,34.8/1.4,4101.0,23.0,28.4,0.19,,,261.0,
Anguilla,281.0,-7.7,18860.7,2.4,11.0,86.6,,,,,... / ...,106.0,,5.0,283.0,-278.0,-62.0,1.2,100.0,1.2,,... / ...,23.3/7.6,5.6/37.4,,,,,,,,,27.7,,81.6,57.0,61.1,0.1/9.8,0.0,149.0,0.2,,,,68.0,
Antigua and Barbuda,1510.0,3.0,14803.0,2.0,21.3,76.8,,,,,... / ...,112.0,70.0,46.0,829.0,-783.0,34.0,1.2,24.5,0.1,2.0,77.4/74.8,22.0/13.6,28.6/28.1,,6.8,4.3,2.8,,86.1/89.2,90.6/94.4,29.2/14.1,10.3,11.1,76.0,59.0,22.3,0.5/5.8,0.0,79.0,18.4,0.66,,,247.0,
Argentina,637486.0,2.9,14399.6,6.7,25.8,67.5,0.5,23.1,76.4,7.9,48.8/72.7,152.0,131.0,66319.0,66306.0,13.0,-28003.0,1.0,92.0,1.2,2.3,79.0/72.2,24.6/15.4,2164.5/4.9,90.9,12.1,7.5,4.0,5.6,109.2/109.7,110.4/105.7,111.6/67.2,5.9,38.8,75.8,278.0,9.8,204.0/4.7,3181.0,83.0,33.2,0.0,,0.6,6720.0,
Armenia,11537.0,7.5,3936.8,16.3,27.6,56.1,32.6,16.2,51.2,18.4,49.7/69.9,127.0,127.0,2382.0,4796.0,-2414.0,-1131.0,0.3,63.2,0.2,1.7,77.0/70.6,20.8/17.9,190.7/6.5,18.9,13.2,9.9,2.9,2.8,94.3/94.0,88.4/84.0,58.7/46.1,3.0,24.2,69.7,117.0,11.7,5.5/1.8,44.0,45.0,30.5,2.13,,0.2,1495.0,
